ID DET. FAC 2  No. FAC. 1   ID PROD.10003  Q3000
ID DET. FAC 5  No. FAC. 1   ID PROD.10003  Q3000
ID DET. FAC 7  No. FAC. 1   ID PROD.10001  Q300
ID DET. FAC 5  No. FAC. 2   ID PROD.10003  Q3000
ID DET. FAC 10  No. FAC. 2   ID PROD.10005  Q500
ID DET. FAC 13  No. FAC. 2   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 3   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 4   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 5   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 6   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 7   ID PROD.10003  Q3000
ID DET. FAC 17  No. FAC. 7   ID PROD.10003  Q3000
ID DET. FAC 13  No. FAC. 8   ID PROD.10003  Q3000
ID DET. FAC 22  No. FAC. 8   ID PROD.10005  Q500
ID DET. FAC 1  No. FAC. 9   ID PROD.10003  Q3000
ID DET. FAC 7  No. FAC. 9   ID PROD.10005  Q500
ID DET. FAC 1  No. FAC. 10   ID PROD.10003  Q3000
ID DET. FAC 13  No. FAC. 10   ID PROD.1002  Q1.26117e-044
ID DET. FAC 31  No. FAC. 11   ID PROD.10003  Q3000
ID DET. FAC 37  No. FAC. 11   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 12   ID PROD.10003  Q3000
ID DET. FAC 7  No. FAC. 12   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 13   ID PROD.10003  Q3000
ID DET. FAC 28  No. FAC. 13   ID PROD.10007  Q0
ID DET. FAC 1  No. FAC. 14   ID PROD.10003  Q3000
ID DET. FAC 7  No. FAC. 14   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 15   ID PROD.10003  Q3000
ID DET. FAC 7  No. FAC. 15   ID PROD.10003  Q3000
ID DET. FAC 1  No. FAC. 16   ID PROD.10003  Q3000
ID DET. FAC 7  No. FAC. 16   ID PROD.10003  Q3000
